#datatype measurement,double,dateTime:RFC3339
measurement,value,time
Gaz_Analyzer_9,0.138,2022-01-15T12:40:03Z
Gaz_Analyzer_9,0.153,2022-01-15T13:00:04Z
Gaz_Analyzer_9,0.154,2022-01-15T13:20:02Z
Gaz_Analyzer_9,0.102,2022-01-15T13:40:02Z
Gaz_Analyzer_9,0.131,2022-01-15T14:00:03Z
Gaz_Analyzer_9,0.16,2022-01-15T14:20:03Z
Gaz_Analyzer_9,0.161,2022-01-15T14:40:04Z
Gaz_Analyzer_9,0.14,2022-01-15T15:00:01Z
Gaz_Analyzer_9,0.103,2022-01-15T15:20:02Z
Gaz_Analyzer_9,0.088,2022-01-15T15:40:02Z
Gaz_Analyzer_9,0.119,2022-01-15T16:00:04Z
Gaz_Analyzer_9,0.092,2022-01-15T16:20:02Z
Gaz_Analyzer_9,0.104,2022-01-15T16:40:03Z
Gaz_Analyzer_9,0.091,2022-01-15T17:00:04Z
Gaz_Analyzer_9,0.112,2022-01-15T17:20:02Z
Gaz_Analyzer_9,0.09,2022-01-15T17:40:03Z
Gaz_Analyzer_9,0.125,2022-01-15T18:00:04Z
Gaz_Analyzer_9,0.142,2022-01-15T18:20:02Z
Gaz_Analyzer_9,0.169,2022-01-15T18:40:02Z
Gaz_Analyzer_9,0.243,2022-01-15T19:00:03Z
Gaz_Analyzer_9,0.374,2022-01-15T19:20:03Z
Gaz_Analyzer_9,0.586,2022-01-15T19:40:02Z
Gaz_Analyzer_9,0.678,2022-01-15T20:00:03Z
Gaz_Analyzer_9,0.226,2022-01-15T20:20:03Z
Gaz_Analyzer_9,0.189,2022-01-15T20:40:02Z
Gaz_Analyzer_9,0.144,2022-01-15T21:00:04Z
Gaz_Analyzer_9,0.127,2022-01-15T21:20:02Z
Gaz_Analyzer_9,0.169,2022-01-15T21:40:02Z
Gaz_Analyzer_9,0.14,2022-01-15T22:00:04Z
Gaz_Analyzer_9,0.088,2022-01-15T22:20:03Z
Gaz_Analyzer_9,0.06,2022-01-15T22:40:02Z
Gaz_Analyzer_9,0.054,2022-01-15T23:00:04Z
Gaz_Analyzer_9,0.049,2022-01-15T23:20:03Z
Gaz_Analyzer_9,0.061,2022-01-15T23:40:02Z
Gaz_Analyzer_9,0.055,2022-01-16T00:00:03Z
Gaz_Analyzer_9,0.046,2022-01-16T00:20:06Z
Gaz_Analyzer_9,0.04,2022-01-16T00:40:05Z
Gaz_Analyzer_9,0.043,2022-01-16T01:00:37Z
Gaz_Analyzer_9,0.048,2022-01-16T01:20:04Z
Gaz_Analyzer_9,0.058,2022-01-16T01:40:02Z
Gaz_Analyzer_9,0.038,2022-01-16T02:00:03Z
Gaz_Analyzer_9,0.022,2022-01-16T02:20:02Z
Gaz_Analyzer_9,0.025,2022-01-16T02:40:03Z
Gaz_Analyzer_9,0.019,2022-01-16T03:00:02Z
Gaz_Analyzer_9,0.014,2022-01-16T03:20:02Z
Gaz_Analyzer_9,0.015,2022-01-16T03:40:04Z
Gaz_Analyzer_9,0.022,2022-01-16T04:00:02Z
Gaz_Analyzer_9,0.026,2022-01-16T04:20:03Z
Gaz_Analyzer_9,0.022,2022-01-16T04:40:02Z
Gaz_Analyzer_9,0.041,2022-01-16T05:00:02Z
Gaz_Analyzer_9,0.046,2022-01-16T05:20:02Z
Gaz_Analyzer_9,0.088,2022-01-16T05:40:03Z
Gaz_Analyzer_9,0.199,2022-01-16T06:00:03Z
Gaz_Analyzer_9,0.214,2022-01-16T06:20:03Z
Gaz_Analyzer_9,0.163,2022-01-16T06:40:02Z
Gaz_Analyzer_9,0.25,2022-01-16T07:00:03Z
Gaz_Analyzer_9,0.216,2022-01-16T07:20:03Z
Gaz_Analyzer_9,0.115,2022-01-16T07:40:02Z
Gaz_Analyzer_9,0.098,2022-01-16T08:00:02Z
Gaz_Analyzer_9,0.104,2022-01-16T08:20:03Z
Gaz_Analyzer_9,0.073,2022-01-16T08:40:03Z
Gaz_Analyzer_9,0.056,2022-01-16T09:00:03Z
Gaz_Analyzer_9,0.04,2022-01-16T09:20:02Z
Gaz_Analyzer_9,0.036,2022-01-16T09:40:02Z
Gaz_Analyzer_9,0.04,2022-01-16T10:00:04Z
Gaz_Analyzer_9,0.051,2022-01-16T10:20:03Z
Gaz_Analyzer_9,0.045,2022-01-16T10:40:02Z
Gaz_Analyzer_9,0.042,2022-01-16T11:00:04Z
Gaz_Analyzer_9,0.04,2022-01-16T11:20:02Z
Gaz_Analyzer_9,0.033,2022-01-16T11:40:03Z
Gaz_Analyzer_9,0.04,2022-01-16T12:00:04Z
Gaz_Analyzer_9,0.087,2022-01-16T12:20:03Z
Gaz_Analyzer_9,0.072,2022-01-16T12:40:02Z
Gaz_Analyzer_9,0.068,2022-01-16T13:00:02Z
Gaz_Analyzer_9,0.074,2022-01-16T13:20:02Z
Gaz_Analyzer_9,0.091,2022-01-16T13:40:02Z
Gaz_Analyzer_9,0.09,2022-01-16T14:00:02Z
Gaz_Analyzer_9,0.053,2022-01-16T14:20:03Z
Gaz_Analyzer_9,0.057,2022-01-16T14:40:03Z
Gaz_Analyzer_9,0.063,2022-01-16T15:00:03Z
Gaz_Analyzer_9,0.088,2022-01-16T15:20:02Z
Gaz_Analyzer_9,0.068,2022-01-16T15:40:02Z
Gaz_Analyzer_9,0.052,2022-01-16T16:00:03Z
Gaz_Analyzer_9,0.042,2022-01-16T16:20:02Z
Gaz_Analyzer_9,0.049,2022-01-16T16:40:02Z
Gaz_Analyzer_9,0.054,2022-01-16T17:00:03Z
Gaz_Analyzer_9,0.049,2022-01-16T17:20:02Z
Gaz_Analyzer_9,0.058,2022-01-16T17:40:02Z
Gaz_Analyzer_9,0.046,2022-01-16T18:00:02Z
Gaz_Analyzer_9,0.043,2022-01-16T18:20:02Z
Gaz_Analyzer_9,0.057,2022-01-16T18:40:03Z
Gaz_Analyzer_9,0.048,2022-01-16T19:00:03Z
Gaz_Analyzer_9,0.059,2022-01-16T19:20:03Z
Gaz_Analyzer_9,0.06,2022-01-16T19:40:03Z
Gaz_Analyzer_9,0.056,2022-01-16T20:00:02Z
Gaz_Analyzer_9,0.056,2022-01-16T20:20:03Z
Gaz_Analyzer_9,0.064,2022-01-16T20:40:03Z
Gaz_Analyzer_9,0.058,2022-01-16T21:00:03Z
Gaz_Analyzer_9,0.067,2022-01-16T21:20:02Z
Gaz_Analyzer_9,0.066,2022-01-16T21:40:03Z
Gaz_Analyzer_9,0.066,2022-01-16T22:00:03Z
Gaz_Analyzer_9,0.058,2022-01-16T22:20:03Z
Gaz_Analyzer_9,0.06,2022-01-16T22:40:02Z
Gaz_Analyzer_9,0.054,2022-01-16T23:00:04Z
Gaz_Analyzer_9,0.056,2022-01-16T23:20:03Z
Gaz_Analyzer_9,0.058,2022-01-16T23:40:02Z
Gaz_Analyzer_9,0.056,2022-01-17T00:00:04Z
Gaz_Analyzer_9,0.055,2022-01-17T00:20:02Z
Gaz_Analyzer_9,0.061,2022-01-17T00:40:03Z
Gaz_Analyzer_9,0.056,2022-01-17T01:00:02Z
Gaz_Analyzer_9,0.051,2022-01-17T01:20:03Z
Gaz_Analyzer_9,0.055,2022-01-17T01:40:03Z
Gaz_Analyzer_9,0.054,2022-01-17T02:00:04Z
Gaz_Analyzer_9,0.058,2022-01-17T02:20:03Z
Gaz_Analyzer_9,0.052,2022-01-17T02:40:03Z
Gaz_Analyzer_9,0.055,2022-01-17T03:00:03Z
Gaz_Analyzer_9,0.048,2022-01-17T03:20:03Z
Gaz_Analyzer_9,0.046,2022-01-17T03:40:03Z
Gaz_Analyzer_9,0.049,2022-01-17T04:00:04Z
Gaz_Analyzer_9,0.056,2022-01-17T04:20:02Z
Gaz_Analyzer_9,0.05,2022-01-17T04:40:02Z
Gaz_Analyzer_9,0.054,2022-01-17T05:00:05Z
Gaz_Analyzer_9,0.052,2022-01-17T05:20:04Z
Gaz_Analyzer_9,0.039,2022-01-17T05:40:02Z
Gaz_Analyzer_9,0.038,2022-01-17T06:00:03Z
Gaz_Analyzer_9,0.038,2022-01-17T06:20:05Z
Gaz_Analyzer_9,0.035,2022-01-17T06:40:03Z
Gaz_Analyzer_9,0.032,2022-01-17T07:00:02Z
Gaz_Analyzer_9,0.031,2022-01-17T07:20:03Z
Gaz_Analyzer_9,0.028,2022-01-17T07:40:08Z
Gaz_Analyzer_9,0.026,2022-01-17T08:00:02Z
Gaz_Analyzer_9,0.024,2022-01-17T08:20:04Z
Gaz_Analyzer_9,0.028,2022-01-17T08:40:03Z
Gaz_Analyzer_9,0.03,2022-01-17T09:00:05Z
Gaz_Analyzer_9,0.025,2022-01-17T09:20:03Z
